"BIRD","Dominance","Sex","Season","Season.plus","Cohort","Group","Start.AgeCl","Bird.age","Mean.Age","Delta.Age","Plate","Position","RTL"
"58","DOM","M","2011-12","2011-12_1","2008-09","EL","F",1073,1180,-107,"OX8",19,1.094754921
"58","DOM","M","2011-12","2011-12_2","2008-09","EL","F",1287,1180,107,"OX8",21,1.034902015
"59","DOM","M","2011-12","2011-12_1","2008-09","XB","F",1072,1185.5,-113.5,"OX4",8,0.740643918
"59","DOM","M","2011-12","2011-12_2","2008-09","XB","F",1299,1185.5,113.5,"OX4",9,0.629778609
"60","SUB","F","2011-12","2011-12_1","2008-09","SU","F",1035,1153.5,-118.5,"OX5",2,1.394564816
"60","SUB","F","2011-12","2011-12_2","2008-09","SU","F",1272,1153.5,118.5,"OX5",3,1.320463086
"61","SUB","F","2011-12","2011-12_2","2009-10","WE","N",754,844,-90,"G2",3,1.022223341
"61","SUB","F","2012-13","2012-13_1","2009-10","WE","N",934,844,90,"G2",5,1.153124641
"64","DOM","F","2013-14","2013-14_2","2009-10","FO","N",1474,1653,-179,"M2",19,0.949868347
"64","DOM","F","2014-15","2014-15_1","2009-10","FO","N",1640,1653,-13,"D2",22,0.864235999
"64","DOM","F","2014-15","2014-15_2","2009-10","FO","N",1845,1653,192,"D2",26,0.954562472
"64","SUB","F","2011-12","2011-12_1","2009-10","FO","N",537,834.75,-297.75,"OX4",18,0.799948514
"64","SUB","F","2011-12","2011-12_2","2009-10","FO","N",751,834.75,-83.75,"L2",3,0.916649814
"64","SUB","F","2012-13","2012-13_1","2009-10","FO","N",947,834.75,112.25,"L2",9,0.821345768
"64","SUB","F","2012-13","2012-13_2","2009-10","FO","N",1104,834.75,269.25,"L2",11,0.792372187
"65","SUB","F","2011-12","2011-12_1","2009-10","AY","N",531,637,-106,"X1",10,1.046858917
"65","SUB","F","2011-12","2011-12_2","2009-10","AY","N",743,637,106,"X1",12,0.919703446
"66","SUB","F","2011-12","2011-12_1","2010-11","VA","N",195,409.666666666667,-214.666666666667,"OX7",4,1.197681138
"66","SUB","F","2011-12","2011-12_2","2010-11","VA","N",404,409.666666666667,-5.66666666666669,"OX7",5,1.091405485
"66","SUB","F","2012-13","2012-13_1","2010-11","VA","N",630,409.666666666667,220.333333333333,"X1",6,1.033712803
"67","SUB","F","2011-12","2011-12_1","2010-11","BO","N",187,445,-258,"OX4",24,0.974551377
"67","SUB","F","2011-12","2011-12_2","2010-11","BO","N",402,445,-43,"OX4",25,0.834734637
"67","SUB","F","2012-13","2012-13_2","2010-11","CH","N",746,445,301,"N2",14,0.999689882
"68","SUB","M","2011-12","2011-12_1","2009-10","FO","N",596,1037,-441,"H2",2,1.014176117
"68","SUB","M","2012-13","2012-13_1","2009-10","HY","N",1025,1037,-12,"H2",9,0.871067746
"68","SUB","M","2012-13","2012-13_2","2009-10","FO","N",1163,1037,126,"H2",11,0.777921524
"68","SUB","M","2013-14","2013-14_1","2009-10","FO","N",1364,1037,327,"H2",10,0.885835465
"69","DOM","M","2012-13","2012-13_2","2009-10","NY","N",1163,1473.66666666667,-310.666666666667,"E2",9,0.792262396
"69","DOM","M","2013-14","2013-14_2","2009-10","NY","N",1557,1473.66666666667,83.3333333333333,"E2",19,0.582192595
"69","DOM","M","2014-15","2014-15_1","2009-10","NY","N",1701,1473.66666666667,227.333333333333,"E2",20,0.81930601
"70","SUB","F","2011-12","2011-12_2","2009-10","UB","N",805,1086,-281,"G2",2,0.857844356
"70","SUB","F","2012-13","2012-13_1","2009-10","UB","N",977,1086,-109,"G2",4,1.025816441
"70","SUB","F","2012-13","2012-13_2","2009-10","UB","N",1177,1086,91,"G2",10,0.889855033
"70","SUB","F","2013-14","2013-14_1","2009-10","UB","N",1385,1086,299,"G2",12,0.845835909
"71","SUB","M","2011-12","2011-12_2","2009-10","WE","N",797,907,-110,"K2",4,0.918031549
"71","SUB","M","2012-13","2012-13_1","2009-10","WE","N",1017,907,110,"K2",9,0.884287776
"72","SUB","M","2011-12","2011-12_2","2009-10","KI","N",806,916,-110,"X1",13,0.728144484
"72","SUB","M","2012-13","2012-13_1","2009-10","KI","N",1026,916,110,"X1",18,0.6835178
"73","SUB","F","2011-12","2011-12_1","2009-10","PO","N",580,669.5,-89.5,"N2",2,0.739066704
"73","SUB","F","2011-12","2011-12_2","2009-10","PO","N",759,669.5,89.5,"N2",7,0.688972191
"74","SUB","M","2011-12","2011-12_1","2009-10","MO","N",581,697.5,-116.5,"OX5",9,1.305779629
"74","SUB","M","2011-12","2011-12_2","2009-10","MO","N",814,697.5,116.5,"OX5",10,1.292480989
"75","DOM","F","2011-12","2011-12_1","2009-10","MO","N",575,1014,-439,"OX5",11,0.946220279
"75","DOM","F","2011-12","2011-12_2","2009-10","MO","N",799,1014,-215,"OX5",12,1.17030529
"75","DOM","F","2012-13","2012-13_1","2009-10","MO","N",998,1014,-16,"E2",8,0.95679531
"75","DOM","F","2012-13","2012-13_2","2009-10","MO","N",1156,1014,142,"E2",16,0.792456897
"75","DOM","F","2013-14","2013-14_2","2009-10","NY","N",1542,1014,528,"B2",15,1.179629424
"76","DOM","F","2012-13","2012-13_2","2009-10","PU","N",1150,1338,-188,"J2",15,0.964571652
"76","DOM","F","2013-14","2013-14_2","2009-10","PU","N",1526,1338,188,"J2",21,1.024990408
"77","SUB","F","2011-12","2011-12_1","2009-10","PU","N",573,684.5,-111.5,"M2",3,1.089094339
"77","SUB","F","2011-12","2011-12_2","2009-10","PU","N",796,684.5,111.5,"M2",6,0.969681814
"78","SUB","F","2011-12","2011-12_1","2009-10","RO","N",573,763.5,-190.5,"F2",4,0.83429999
"78","SUB","F","2012-13","2012-13_1","2009-10","RO","N",954,763.5,190.5,"F2",10,0.832917009
"80","SUB","F","2011-12","2011-12_1","2009-10","YE","N",548,770.5,-222.5,"U1",3,0.589525209
"80","SUB","F","2012-13","2012-13_1","2009-10","YE","N",993,770.5,222.5,"G2",8,0.855577595
"81","SUB","M","2011-12","2011-12_1","2009-10","TO","N",554,671,-117,"F2",24,0.546060369
"81","SUB","M","2011-12","2011-12_2","2009-10","TO","N",788,671,117,"F2",12,0.581669713
"82","SUB","F","2012-13","2012-13_2","2011-12","YI","N",444,846.5,-402.5,"F2",21,1.04838436
"82","SUB","F","2013-14","2013-14_2","2011-12","YI","N",800,846.5,-46.5,"L2",15,1.210170814
"82","SUB","F","2014-15","2014-15_1","2011-12","YI","N",974,846.5,127.5,"L2",18,1.27147894
"82","SUB","F","2014-15","2014-15_2","2011-12","YI","N",1168,846.5,321.5,"L2",21,1.461908257
"86","SUB","M","2011-12","2011-12_1","2010-11","PU","F",415,526.5,-111.5,"OX5",25,1.072914002
